Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
dunkin donuts logo,1,2,14800,81.14,0,https://www.dunkindonuts.com/,11840,0.2,0,0,27100000,"[55,55,67,100,67,67,67,82,82,100,82,82]",8/30/2020,"Image pack, Site links, Video, Video Carousel, People also ask, FAQ"
dunkin donuts donuts,1,1,14800,87.41,1.41,https://www.dunkindonuts.com/en/menu/donuts,11840,0.2,16694,0.03,32900000,"[45,45,45,45,45,45,55,55,67,82,100,100]",8/30/2020,"Image pack, Tweet, Image, Video Carousel, People also ask"
dunkin donuts application,1,1,14800,79.02,0.48,https://www.dunkindonuts.com/en/careers,11840,0.2,5683,0.17,30300000,"[82,67,67,55,55,55,67,55,45,30,82,100]",8/30/2020,"Image pack, Jobs search, Video Carousel, People also ask"
dunkin donuts drive thru,1,3,14800,85.69,2.35,https://news.dunkindonuts.com/blog/dunkin-order-ahead-drive-thru-pickup,11840,0.2,27824,0.05,3200000,"[30,30,24,24,24,24,24,24,55,82,100,100]",8/30/2020,"Knowledge panel, Featured snippet, Video Carousel, People also ask"
dunkin donuts careers,1,1,12100,72.04,0.57,https://www.dunkindonuts.com/en/careers,9680,0.16,5517,0.04,8430000,"[82,67,67,55,55,55,67,55,45,30,55,100]",8/30/2020,"Video, Jobs search, People also ask"
closest dunkin donuts,1,1,12100,81.73,2.35,https://www.dunkindonuts.com/en/locations,9680,0.16,22748,0.01,18300000,"[100,100,100,100,82,82,82,82,67,45,67,100]",8/30/2020,"Local pack, People also ask"
dunkin donuts app,1,1,9900,85.43,1.45,https://www.dunkindonuts.com/en/dd-cards/mobile-app,7920,0.13,11484,0.04,7880000,"[55,55,67,67,67,67,67,67,82,82,100,100]",8/30/2020,"Tweet, Video Carousel, People also ask"
dunkin donuts drive thru near me,1,1,9900,84.58,1.62,https://www.dunkindonuts.com/en/locations,7920,0.13,12830,0.01,1440000,"[30,30,24,24,24,24,20,24,67,100,100,82]",8/30/2020,"Local pack, People also ask"
macchiato,3,3,90500,79.49,3.54,https://news.dunkindonuts.com/blog/latte-vs-cappuccino-vs-macchiato-whats-the-difference,8145,0.13,28833,0.2,37600000,"[82,82,82,100,100,82,100,100,67,55,55,67]",8/30/2020,"Instant answer, Knowledge panel, Site links, Image, Video Carousel, People also ask"
dunkin donuts calories,1,1,9900,83.74,0,https://www.dunkindonuts.com/en/menu/nutrition,7920,0.13,0,0,0,"[82,82,67,67,55,45,82,82,55,55,82,100]",8/30/2020,"Knowledge panel, Carousel, Image pack, Image, Video Carousel, People also ask"
dunkin donuts jobs,1,1,9900,84.43,0.46,https://www.dunkindonuts.com/en/careers,7920,0.13,3643,0.04,73,"[55,45,45,45,45,36,55,45,36,36,82,100]",8/30/2020,"Image pack, Site links, Video, Jobs search, People also ask"
dunkin donuts drinks,1,1,9900,89.48,1.67,https://www.dunkindonuts.com/en/menu,7920,0.13,13226,0.03,32400000,"[55,55,45,45,45,45,45,55,67,67,82,100]",8/30/2020,"Image pack, Tweet, Image, Video Carousel, People also ask"
dunkin donuts happy hour,1,1,9900,83.99,3.85,https://news.dunkindonuts.com/blog/dunkin-deals-happy-hour,7920,0.13,30492,0.12,0,"[100,100,82,67,67,82,67,67,67,55,67,55]",8/30/2020,"Carousel, Site links, Tweet, Video, Featured snippet, People also ask"
what is a cappuccino,1,1,14800,75.79,2.57,https://news.dunkindonuts.com/blog/latte-vs-cappuccino-vs-macchiato-whats-the-difference,6956,0.11,17876,0.01,87000000,"[55,67,55,82,100,82,82,82,45,36,36,45]",8/30/2020,"Knowledge panel, Image, Video Carousel, People also ask, FAQ"
dounuts,1,1,14800,82.16,1.49,https://www.dunkindonuts.com/,6956,0.11,10364,0.04,372000000,"[55,67,67,67,67,67,67,67,67,82,100,82]",8/31/2020,"Local pack, Top stories, Image pack, Site links, Video, Image"
what time does dunkin donuts open,1,1,8100,86.29,0,https://www.dunkindonuts.com/en/locations,6480,0.11,0,0,17600000,"[82,82,82,82,82,82,82,82,67,67,82,100]",8/30/2020,"Image pack, Site links"
is dunkin donuts open,1,1,8100,84.65,3.8,https://www.dunkindonuts.com/en/covid-19,6480,0.11,24624,0,35600000,"[9,4,11,4,16,45,20,5,82,100,55,30]",8/30/2020,Image pack
dunkin donuts munchkins,1,1,8100,81.9,1.71,https://www.dunkindonuts.com/en/menu/donuts/munchkins,6480,0.11,11080,0.09,316000,"[82,82,100,100,82,82,82,100,67,67,82,100]",8/30/2020,"Image pack, Video, Image, Video Carousel, People also ask"
dd perks,1,1,8100,85.79,2.59,https://www.dunkindonuts.com/en/dd-perks,6480,0.11,16783,0.02,5820000,"[67,82,100,82,55,67,55,67,67,55,67,67]",8/30/2020,"Image pack, Video Carousel, People also ask"
national doughnut day dunkin donuts,1,2,8100,86.26,0,https://news.dunkindonuts.com/blog/how-to-get-a-free-donut-on-national-donut-day,6480,0.11,0,0,61,"[0,0,0,0,1,0,0,0,0,0,1,100]",8/30/2020,"Image pack, Featured snippet, Video Carousel, People also ask"
what time does dunkin donuts close,1,1,8100,86.64,0,https://www.dunkindonuts.com/en/locations,6480,0.11,0,0,37900000,"[82,67,67,55,82,82,67,67,82,82,100,100]",8/30/2020,"Site links, Tweet"
24 hour dunkin donuts,1,1,6600,86.08,0,https://www.dunkindonuts.com/en/locations,5280,0.08,0,0,6380000,"[100,100,55,82,100,82,55,67,55,29,44,67]",8/30/2020,"Image pack, Video"
dunkin donuts order online,1,5,6600,82.35,2.49,https://news.dunkindonuts.com/news/dunkin-donuts-on-the-go-mobile-ordering-now-available-nationwide,5280,0.08,13147,0.23,17300000,"[54,67,81,81,81,81,81,81,81,100,100,81]",8/30/2020,"Site links, Tweet, Video, Featured snippet, People also ask, FAQ"
dunkin donuts open near me,1,1,6600,86.53,0,https://www.dunkindonuts.com/en/locations,5280,0.08,0,0,29300000,"[36,30,30,30,55,100,36,30,55,82,82,82]",8/30/2020,"Image pack, Site links, Video"
dunkin donuts breakfast menu,1,1,6600,83.68,1.98,https://www.dunkindonuts.com/en/menu/sandwiches-and-more,5280,0.08,10454,0.18,0,"[67,81,81,81,81,67,81,81,67,54,81,100]",8/30/2020,"Carousel, Image pack, Featured snippet, Image, People also ask"
donut shop near me,10,33,165000,75.4,2.97,https://www.dunkindonuts.com/en/locations,4950,0.08,14701,0.09,147000000,"[100,82,82,82,82,82,82,82,82,82,82,100]",8/30/2020,"Local pack, Image pack"
dunkin coffee,1,1,6600,86.4,5.67,https://www.dunkindonuts.com/,5280,0.08,29937,0.38,27400000,"[44,44,55,55,55,55,55,67,82,82,82,100]",8/30/2020,"Knowledge panel, Top stories, Image pack, Tweet, Image, Video Carousel, People also ask"
dunkin donuts drink menu,1,2,6600,88.64,1.48,https://www.dunkindonuts.com/en/menu,5280,0.08,7814,0.02,17500000,"[55,45,45,36,36,36,36,45,55,55,82,100]",8/30/2020,"Image pack, Tweet, Video, People also ask"
dunkin donuts hiring,1,1,6600,81.94,0.35,https://www.dunkindonuts.com/en/careers,5280,0.08,1848,0.07,91,"[36,30,24,24,24,24,30,30,24,24,67,100]",8/30/2020,"Image pack, Video, Jobs search, People also ask"
dunkin delivery,1,1,6600,88.72,1.82,https://www.dunkindonuts.com/en/dunkin-delivers,5280,0.08,9609,0.3,64,"[24,24,24,24,30,24,24,30,67,100,67,55]",8/31/2020,"Knowledge panel, Image pack, AdWords top, Video Carousel, People also ask, FAQ"
dunkin iced coffee,1,1,6600,88.75,5.9,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/iced-coffee,5280,0.08,31152,0.53,2220000,"[45,45,45,36,30,30,36,45,67,82,100,100]",8/30/2020,"Image pack, Site links, Image, Video Carousel, People also ask"
closest dunkin donuts to me,1,1,6600,82.23,2.52,https://www.dunkindonuts.com/en/locations,5280,0.08,13305,0.01,97,"[100,81,67,81,81,81,67,67,67,36,67,100]",8/30/2020,"Local pack, Image pack, People also ask"
dunkin donuts specials,1,1,5400,86.77,1.29,https://news.dunkindonuts.com/news/dunkin-donuts-doubles-down-on-value-with-launch-of-new-dunkin-go2s,4320,0.07,5572,0.01,831000,"[100,100,82,82,100,100,82,82,67,67,82,82]",8/30/2020,"Site links, Tweet, Featured snippet, People also ask, FAQ"
dunkin happy hour,1,1,5400,85.73,4.15,https://news.dunkindonuts.com/blog/dunkin-deals-happy-hour,4320,0.07,17928,0.13,0,"[82,82,82,67,82,82,82,82,100,82,100,100]",8/30/2020,"Carousel, Site links, Tweet, Video, Featured snippet, People also ask"
sippeelwin,2,2,33100,78.75,0,https://news.dunkindonuts.com/blog/dunkin-sip-peel-win,4303,0.07,0,0,4820,"[0,45,100,25,3,0,0,0,0,0,0,0]",8/30/2020,"Image pack, Video, Video Carousel"
dunkin donuts cups,1,1,5400,88.15,1.22,https://www.dunkindonuts.com/en/shop,4320,0.07,5270,1,1480000,"[44,44,54,54,81,100,67,67,54,67,81,67]",8/30/2020,"Image pack, Video Carousel, People also ask"
dunkin nutrition,1,1,5400,84,0,https://www.dunkindonuts.com/en/menu/nutrition,4320,0.07,0,0,0,"[67,67,67,44,44,36,55,55,55,44,82,100]",8/30/2020,"Knowledge panel, Carousel, Image pack, Image, People also ask"
dunkin drive thru,1,1,5400,87.07,2.35,https://news.dunkindonuts.com/blog/dunkin-order-ahead-drive-thru-pickup,4320,0.07,10152,0.03,1870000,"[20,20,16,16,20,20,20,20,45,67,100,100]",8/30/2020,"Image pack, Video, Featured snippet, Video Carousel, People also ask"
dunkin donuts coupons,2,2,33100,87.23,1.19,https://www.dunkindonuts.com/en/menu/offers-promotions,4303,0.07,5120,0.22,804000,"[82,82,82,100,100,100,82,82,55,37,45,37]",8/30/2020,"Image pack, Video Carousel, People also ask, FAQ"
dunkin donuts com,1,1,5400,84.5,1.55,https://www.dunkindonuts.com/,4320,0.07,6696,0.07,33000000,"[67,67,54,54,67,100,81,67,54,54,67,67]",8/30/2020,Video Carousel
dunkin donuts nutrition facts,1,1,4400,84.4,0,https://www.dunkindonuts.com/en/menu/nutrition,3520,0.05,0,0,0,"[100,100,82,100,100,66,100,100,82,55,100,100]",8/30/2020,"Knowledge panel, Carousel, Image pack, People also ask"
sippeelwin,3,3,33100,78.75,0,https://news.dunkindonuts.com/blog?t=Sip+Peel+Win,2979,0.05,0,0,4820,"[0,45,100,25,3,0,0,0,0,0,0,0]",8/30/2020,"Image pack, Video, Video Carousel"
dunkindonuts com,1,1,4400,82.37,0.68,https://www.dunkindonuts.com/,3520,0.05,2393,0.07,17400000,"[67,67,67,67,67,100,82,67,55,55,67,67]",8/30/2020,"Tweet, People also ask, FAQ"
dunkin gift card balance,1,1,4400,66.7,0,https://www.dunkindonuts.com/en/dd-cards/check-balance,3520,0.05,0,0,1280000,"[36,36,36,36,36,100,100,67,44,36,54,54]",8/30/2020,"Video Carousel, People also ask"
dunkin logo,1,1,4400,81.59,0,https://www.dunkindonuts.com/,3520,0.05,0,0,22000000,"[67,67,81,100,81,67,81,81,81,100,100,81]",8/30/2020,"Image pack, Site links, Tweet, Video Carousel"
dunkin donuts breakfast,1,1,4400,87.81,5.37,https://www.dunkindonuts.com/en/menu/sandwiches-and-more,3520,0.05,18902,0.15,11900000,"[100,100,100,100,100,81,81,100,81,67,81,100]",8/30/2020,"Image pack, Tweet, Image, Video Carousel, People also ask"
coolatta,1,1,6600,86.13,4.94,https://www.dunkindonuts.com/en/food-drinks/frozen-drinks/coolatta,3102,0.05,15323,0.01,285000,"[100,67,36,30,24,24,30,30,36,45,67,82]",8/30/2020,"Image pack, Site links, Image, Video Carousel, People also ask"
24 hour dunkin donuts near me,1,1,4400,87.36,0,https://www.dunkindonuts.com/en/locations,3520,0.05,0,0,8580000,"[67,82,100,67,55,82,82,55,36,24,55,55]",8/30/2020,Image pack
dunkin donuts customer service,1,1,4400,85.7,0,https://www.dunkindonuts.com/en/dd-perks/dd-perks-terms-and-conditions,3520,0.05,0,0,0,"[81,67,81,81,81,100,81,81,81,81,81,81]",8/30/2020,"Carousel, Tweet, Featured snippet, People also ask"
dunkin donuts bagels,1,1,4400,86.51,1.76,https://news.dunkindonuts.com/news/dunkin-donuts-rolls-out-new-artisan-bagels,3520,0.05,6195,0.12,0,"[81,81,67,100,67,67,81,81,67,67,67,81]",8/30/2020,"Carousel, Image pack, Site links, Featured snippet, Video Carousel"
is dunkin donuts open today,1,1,4400,88.62,3.63,https://www.dunkindonuts.com/en/locations,3520,0.05,12777,0,20500000,"[7,0,3,0,9,20,5,1,100,5,1,1]",8/30/2020,"Site links, Tweet, Video Carousel"
dunkin donuts deals,1,1,4400,88.3,1.86,https://news.dunkindonuts.com/news/dunkin-donuts-doubles-down-on-value-with-launch-of-new-dunkin-go2s,3520,0.05,6547,0.03,0,"[100,100,100,100,81,100,100,81,81,67,81,81]",8/30/2020,"Carousel, Site links, Tweet, Featured snippet, People also ask, FAQ"
dunkin donuts coupons,3,3,33100,87.23,1.19,https://www.dunkindonuts.com/en/dd-perks/dd-perks-terms-and-conditions,2979,0.05,3545,0.22,804000,"[82,82,82,100,100,100,82,82,55,37,45,37]",8/30/2020,"Image pack, Video Carousel, People also ask, FAQ"
coffee near me,18,0,1000000,80.15,4.98,https://www.dunkindonuts.com/,3000,0.05,14940,0.06,2660000000,"[100,100,100,100,82,82,82,67,55,30,55,82]",8/30/2020,Local pack
dunkin drinks,1,2,3600,87.81,2.3,https://www.dunkindonuts.com/en/menu,2880,0.04,6624,0.04,31600000,"[23,23,23,23,30,30,30,36,44,54,67,100]",8/30/2020,"Image pack, Site links, Tweet, Image, Video Carousel, People also ask"
what is a macchiato,2,1,18100,74.62,0,https://news.dunkindonuts.com/blog/latte-vs-cappuccino-vs-macchiato-whats-the-difference,2353,0.04,0,0,25300000,"[82,82,82,82,100,82,100,100,67,45,67,67]",8/30/2020,"Knowledge panel, Image, Video Carousel, People also ask, FAQ"
dunkin donuts corporate,1,1,3600,78.2,0,https://www.dunkindonuts.com/en/about/contact-us,2880,0.04,0,0,29900000,"[100,81,81,81,100,100,100,100,100,81,100,100]",8/14/2020,"Knowledge panel, Site links, Reviews, Tweet, People also ask"
dunkin near me,2,2,90500,85.14,2.68,https://www.dunkindonuts.com/en/menu,2353,0.04,6306,0.01,29700000,"[37,37,37,37,55,82,45,55,55,55,82,100]",8/30/2020,"Local pack, Image pack, Video"
free dunkin donuts,1,1,3600,85.98,4.22,https://news.dunkindonuts.com/news/dd-perks-free-coffee-mondays-and-free-donut-fridays,2880,0.04,12153,0.11,19500000,"[11,8,11,11,30,8,8,8,100,36,55,45]",8/30/2020,"Image pack, Tweet, Video Carousel, People also ask, FAQ"
whats in a latte,1,1,5400,82.12,0,https://news.dunkindonuts.com/blog/latte-vs-cappuccino-vs-macchiato-whats-the-difference,2538,0.04,0,0,4450000,"[81,54,54,54,54,67,81,100,81,67,81,44]",8/30/2020,"Featured snippet, Image, Video Carousel, People also ask, FAQ"
dunkin donuts prices,2,3,22200,80.48,1.37,https://www.dunkindonuts.com/en/menu,2886,0.04,3953,0.01,0,"[100,100,100,100,82,100,100,100,82,45,45,45]",8/30/2020,"Carousel, Image pack, Tweet, Featured snippet, People also ask"
dunkin donuts open,1,1,3600,83.42,3.69,https://www.dunkindonuts.com/en/locations,2880,0.04,10627,0,30100000,"[9,7,9,7,13,20,100,7,45,45,30,24]",8/30/2020,Video Carousel
dunkin donuts coolatta,1,1,3600,86.85,5.3,https://news.dunkindonuts.com/blog/what-is-coolatta-dunkin,2880,0.04,15264,0.11,0,"[100,55,36,24,19,16,19,24,29,29,55,67]",8/30/2020,"Carousel, Site links, Featured snippet, Image, Video Carousel, People also ask"
dunkin donuts thanksgiving hours,1,1,3600,81.98,0,https://www.dunkindonuts.com/en/locations,2880,0.04,0,0,100,"[0,0,0,0,100,1,0,0,0,0,0,0]",8/14/2020,"Local pack, Image pack, Reviews, Tweet, People also ask"
dunkin donuts near my location,1,1,3600,83.4,2.15,https://www.dunkindonuts.com/en/locations,2880,0.04,6192,0.01,34000000,"[100,100,82,82,100,82,82,66,66,43,66,82]",8/30/2020,Local pack
dunkin donuts hiring near me,1,1,3600,79.37,1.24,https://www.dunkindonuts.com/en/careers,2880,0.04,3571,0.1,57,"[55,44,55,44,44,44,55,44,36,36,67,100]",8/30/2020,"Image pack, Jobs search, People also ask"
dunkin donuts beyond meat,1,1,3600,86.6,0.84,https://www.dunkindonuts.com/en/menu/sandwiches-and-more/beyond-sausage,2880,0.04,2419,0.01,579000,"[45,55,16,24,100,24,30,20,8,3,5,5]",8/30/2020,"Image pack, Video, Video Carousel"
iced macchiato,1,1,5400,78.78,1.97,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/iced-macchiato,2538,0.04,4999,0.07,88,"[81,81,67,67,54,44,67,67,67,67,81,100]",8/30/2020,"Video, Featured snippet, Image, Video Carousel, People also ask"
dunkin gift card,1,1,3600,79.58,2.1,https://www.dunkindonuts.com/en/dd-cards/gift-cards,2880,0.04,6048,0.37,2310000,"[13,16,16,19,36,100,29,24,24,36,55,44]",8/30/2020,"Image pack, Video Carousel, People also ask"
dunkin donuts number,1,1,2400,86.88,0,https://www.dunkindonuts.com/en/about/contact-us,1920,0.03,0,0,31300000,"[100,83,66,66,83,83,83,83,83,45,66,83]",8/26/2020,"Local pack, Reviews, AdWords bottom"
dunkin cold brew,1,1,2900,88.04,1.63,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/cold-brew,2320,0.03,3781,0.63,856000,"[66,82,100,55,30,30,36,43,66,82,66,100]",8/24/2020,"Reviews, Featured snippet, Image, AdWords top, AdWords bottom, Video Carousel, People also ask"
dunkin donuts dozen,1,1,2400,81.72,0,https://www.dunkindonuts.com/en/menu,1920,0.03,0,0.02,960000,"[66,83,83,100,83,83,83,100,55,55,66,55]",8/25/2020,"Site links, Reviews, Video Carousel, People also ask, FAQ"
dunkin donuts phone number,1,1,2900,89.43,0,https://www.dunkindonuts.com/en/about/contact-us,2320,0.03,0,0.01,23,"[81,81,67,81,81,81,81,81,81,67,81,100]",8/20/2020,"Local pack, Site links, Reviews, People also ask"
dunkin donuts pumpkin spice,1,1,2400,87.44,0,https://news.dunkindonuts.com/news/answering-the-call-for-fall-dunkins-signature-pumpkin-spice-latte-and-fall-menu-arrive-august-19,1920,0.03,0,1,459000,"[4,82,100,45,11,2,2,2,1,3,2,2]",8/18/2020,"Top stories, Image pack, Reviews, Image, Video Carousel, People also ask"
does dunkin donuts delivery,1,1,2400,85.69,2.22,https://www.dunkindonuts.com/en/dunkin-delivers,1920,0.03,4262,0.37,14500000,"[44,35,30,35,44,30,35,54,54,100,67,54]",8/29/2020,"Featured snippet, AdWords top, Video Carousel, People also ask, FAQ"
what is a matcha latte,1,1,4400,83.05,0.55,https://news.dunkindonuts.com/news/make-way-for-matcha-lattes-at-dunkin,2068,0.03,1137,0.01,5230000,"[3,3,6,4,4,3,4,11,100,11,16,11]",8/30/2020,"Featured snippet, Image, Video Carousel, People also ask"
dunkin donuts free coffee,1,1,2400,85.24,4.24,https://news.dunkindonuts.com/news/dd-perks-free-coffee-mondays-and-free-donut-fridays,1920,0.03,8140,0.13,95,"[19,19,81,30,30,30,16,13,54,54,100,44]",8/23/2020,"Site links, Reviews, Tweet, Video, People also ask, FAQ"
dunkin drive thru near me,1,1,2400,86.14,0,https://www.dunkindonuts.com/en/locations,1920,0.03,0,0,66,"[16,16,16,16,16,16,16,16,54,100,100,100]",8/15/2020,"Local pack, Image pack, Site links, Reviews, Tweet, Video, AdWords top, People also ask"
dunkin donuts matcha,1,1,2900,85.96,3.46,https://news.dunkindonuts.com/blog/dunkin-the-story-behind-matcha,2320,0.03,8027,0.11,221000,"[1,1,1,1,1,1,1,30,100,24,24,20]",8/20/2020,"Reviews, Video, Featured snippet, Image, Video Carousel, People also ask"
dunkin donuts hash browns,1,1,2400,80.45,5.06,https://news.dunkindonuts.com/blog/free-dunkin-hash-browns-member-monday,1920,0.03,9715,0.11,54,"[67,81,100,100,67,53,67,67,53,53,67,81]",8/15/2020,"Reviews, Video, Featured snippet, Image, AdWords top, Video Carousel, People also ask"
dunkin coolatta,1,1,2400,86.82,5.37,https://www.dunkindonuts.com/en/food-drinks/frozen-drinks/coolatta,1920,0.03,10310,0.12,152000,"[82,44,24,15,15,15,20,24,29,29,67,100]",8/20/2020,"Image pack, Site links, Reviews, Image, Video Carousel, People also ask"
beyond sausage dunkin,1,0,2400,86.68,0,https://www.dunkindonuts.com/en/menu/sandwiches-and-more/beyond-sausage,1920,0.03,0,0.01,72,"[3,2,3,6,100,24,24,16,11,5,6,9]",8/30/2020,"Video, Featured snippet, Video Carousel, People also ask"
matcha latte dunkin,1,1,2900,83.72,3.46,https://news.dunkindonuts.com/blog/dunkin-the-story-behind-matcha,2320,0.03,8027,0.05,166000,"[0,0,0,0,0,0,0,30,100,7,13,16]",8/15/2020,"Reviews, Video, Featured snippet, Image, AdWords top, Video Carousel, People also ask"
dunkin donuts free donut,1,1,2900,84.78,3.66,https://news.dunkindonuts.com/news/dd-perks-free-coffee-mondays-and-free-donut-fridays,2320,0.03,8491,0.07,2270000,"[4,3,4,4,11,3,3,4,100,24,24,55]",8/25/2020,"Image pack, Reviews, Video Carousel, People also ask, FAQ"
dunkin donuts merchandise,1,1,2400,84.03,1.44,https://www.dunkindonuts.com/en/shop,1920,0.03,2764,1,546000,"[20,15,20,20,67,100,36,29,36,44,44,55]",8/21/2020,"Image pack, Reviews, Tweet, AdWords bottom, Video Carousel"
dunkin matcha,1,1,2400,87.22,3.46,https://news.dunkindonuts.com/blog/dunkin-the-story-behind-matcha,1920,0.03,6643,0.1,249000,"[1,1,1,1,1,1,2,100,100,29,36,24]",8/30/2020,"Video, Featured snippet, Image, People also ask"
