,Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Timestamp
4247,sign now application,62,62,50,82.24,3.09,https://www.dunkindonuts.com/en/dd-cards/mobile-app,0,0.0,0,0.29,2680000000,8/22/2020
4248,york me cliff walk,98,98,70,68.98,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,28500000,8/26/2020
4249,duncan the donut,19,19,30,83.81,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,1820000,8/19/2020
4250,uconn catering menu,79,79,40,72.09,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,718000,8/22/2020
4251,starbucks syrup calories,74,74,720,86.13,0.0,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/cold-brew,0,0.0,0,0.04,0,8/24/2020
4252,delivery 85259,64,64,50,79.94,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.04,73,8/16/2020
4253,jobs near me full time near me,59,59,30,91.22,0.0,https://www.dunkindonuts.com/en/careers,0,0.0,0,0.2,11440000000,8/16/2020
4254,dunkin donuts 2 dollar menu,4,4,30,88.85,0.0,https://news.dunkindonuts.com/news/dunkin-donuts-doubles-down-on-value-with-launch-of-new-dunkin-go2s,0,0.0,0,0.0,1290000,8/18/2020
4255,dunkin donuts 2 dollar menu,7,7,30,88.85,0.0,https://news.dunkindonuts.com/blog/dunkin-deals-happy-hour,0,0.0,0,0.0,1290000,8/18/2020
4256,dunkin donuts 2 dollar menu,1,1,30,88.85,0.0,https://news.dunkindonuts.com/news/dunkin-brings-new-go2s-value-menu-choices-to-its-january-menu,24,0.0,0,0.0,1290000,8/18/2020
4257,dunkin donuts 2 dollar menu,3,3,30,88.85,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.0,1290000,8/18/2020
4258,dunkin donuts 2 dollar menu,5,5,30,88.85,0.0,https://www.dunkindonuts.com/en/menu/offers-promotions,0,0.0,0,0.0,1290000,8/18/2020
4259,dunkin donuts 2 dollar menu,2,2,30,88.85,0.0,https://news.dunkindonuts.com/blog/dunkin-go-2-s,0,0.0,0,0.0,1290000,8/18/2020
4260,dunkin donuts 2 dollar menu,6,6,30,88.85,0.0,https://www.dunkindonuts.com/en/food-drinks/sandwiches-wraps,0,0.0,0,0.0,1290000,8/18/2020
4261,bowling cerca de mi ubicación,47,47,50,66.3,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,82,8/24/2020
4262,problems reloading starbucks app,81,81,90,85.17,0.0,https://www.dunkindonuts.com/en/about/contact-us/faqs,0,0.0,0,0.0,551000,8/19/2020
4263,can i drive 200 miles on a donut,56,56,320,80.13,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,93,7/24/2020
4264,oakland restaurants open late,98,98,140,86.49,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.02,7860000,8/16/2020
4265,nutrition facts morning star veggie burger,71,0,40,84.14,0.0,https://www.dunkindonuts.com/en/menu/sandwiches-and-more,0,0.0,0,0.21,524000,8/30/2020
4266,how many shots of espresso are in a cappuccino,1,1,70,78.57,0.0,https://news.dunkindonuts.com/blog/latte-vs-cappuccino-vs-macchiato-whats-the-difference,32,0.0,0,0.02,1610000,8/18/2020
4267,juice pod springfield pa,43,43,590,76.53,0.63,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.14,57,8/18/2020
4268,starbucks sanford nc hours,40,40,90,88.61,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,48,8/23/2020
4269,coffee schaumburg,79,79,140,82.72,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.01,75,8/14/2020
4270,chicago to norfolk distance,91,91,50,81.22,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,8420000,8/17/2020
4271,belgian sandwich recipes,73,73,20,78.94,0.0,https://www.dunkindonuts.com/en/menu/sandwiches-and-more,0,0.0,0,0.02,30000000,8/17/2020
4272,mcdonalds hash brown calories,59,60,9900,81.66,0.0,https://www.dunkindonuts.com/en/food-drinks/bakery-snacks/hashbrowns,0,0.0,0,0.01,189000,8/30/2020
4273,espresso love boston,92,92,320,84.34,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.04,10200000,8/25/2020
4274,how to keep glazed donuts from sweating,47,47,30,68.25,0.0,https://news.dunkindonuts.com/blog/dunkin-reveals-the-six-finalists-of-the-ddtopchef-recipe-contest,0,0.0,0,0.1,1120000,8/14/2020
4275,friday happy hour deals near me,44,44,50,77.2,1.78,https://news.dunkindonuts.com/blog/dunkin-deals-happy-hour,0,0.0,0,0.18,1370000000,8/16/2020
4276,all american barber shop lodi ca,41,41,20,72.12,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.04,85,8/15/2020
4277,t mobile tuesday code,70,70,390,87.56,0.28,https://news.dunkindonuts.com/blog/dunkin-tmobile-tuesday-free-latte,0,0.0,0,0.02,321000000,8/23/2020
4278,symbol cafe taksim,69,69,30,76.15,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,74,8/16/2020
4279,donut places in charlotte nc,30,30,40,77.56,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.05,27,8/27/2020
4280,how many carbs in a cup of sugar,84,84,480,83.23,0.0,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/cold-brew,0,0.0,0,0.0,35100000,8/18/2020
4281,reese's sauce,66,66,140,84.79,0.0,https://news.dunkindonuts.com/blog/the-final-rees-cipe:-reesesR-peanut-butter-square-parfait,0,0.0,0,1.0,2430000,8/15/2020
4282,coffee shop with a view near me,39,39,140,81.64,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.04,4710000000,8/20/2020
4283,hannibal cannibal run,84,84,90,62.2,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,86,8/28/2020
4284,vanilla chai mix,62,62,70,76.73,0.0,https://www.dunkindonuts.com/en/menu/teas-and-more/vanilla-chai,0,0.0,0,1.0,7350000,8/28/2020
4285,taurine monster halal,49,49,50,76.12,0.0,https://www.dunkindonuts.com/content/dam/dd/pdf/allergy_ingredient_guide.pdf,0,0.0,0,0.0,99,8/14/2020
4286,what food does grubhub deliver,30,30,20,90.76,2.02,https://www.dunkindonuts.com/en/dunkin-delivers,0,0.0,0,0.4,88,8/26/2020
4287,jobs hiring in snellville ga,89,89,210,83.73,0.45,https://www.dunkindonuts.com/en/careers,0,0.0,0,0.15,333000,8/29/2020
4288,tarte rewards shop,60,60,70,84.57,1.16,https://www.dunkindonuts.com/en/dd-perks,0,0.0,0,0.66,62,8/19/2020
4289,distance from oakland to denver,59,59,40,78.79,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,76,8/16/2020
4290,ready set breakfast,80,80,40,73.68,0.0,https://news.dunkindonuts.com/news/dunkin-brings-new-go2s-value-menu-choices-to-its-january-menu,0,0.0,0,0.04,452000000,8/18/2020
4291,egg cheese and bacon sandwich,39,39,70,81.05,2.91,https://www.dunkindonuts.com/en/menu/sandwiches-and-more/bacon-egg-cheese,0,0.0,0,0.09,167000000,8/20/2020
4292,lancaster sc buy here pay here,69,69,30,53.34,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.36,2430000,8/15/2020
4293,dunkin donuts lobby hours,5,5,90,86.49,0.0,https://news.dunkindonuts.com/blog/dunkin-preventative-measures-coronavirus,0,0.0,0,0.0,57,8/17/2020
4294,dunkin donuts lobby hours,1,1,90,86.49,0.0,https://www.dunkindonuts.com/en/locations,72,0.0,0,0.0,57,8/17/2020
4295,dunkin donuts lobby hours,4,4,90,86.49,0.0,https://www.dunkindonuts.com/en/covid-19/info,1,0.0,0,0.0,57,8/17/2020
4296,dunkin donuts lobby hours,6,6,90,86.49,0.0,https://news.dunkindonuts.com/news/dunkin-to-limit-service-nationwide-to-drive-thru-carry-out-and-delivery-service-only,0,0.0,0,0.0,57,8/17/2020
4297,dunkin donuts lobby hours,2,2,90,86.49,0.0,https://www.dunkindonuts.com/en/covid-19,2,0.0,0,0.0,57,8/17/2020
4298,dunkin donuts lobby hours,3,3,90,86.49,0.0,https://www.dunkindonuts.com/en/about/contact-us/restaurant-visit/store-info,1,0.0,0,0.0,57,8/17/2020
4299,dunkin donuts lobby hours,9,9,90,86.49,0.0,https://news.dunkindonuts.com/blog/dunkin-updates-coronavirus-covid19,0,0.0,0,0.0,57,8/17/2020
4300,dunkin donuts lobby hours,8,8,90,86.49,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.0,57,8/17/2020
4301,dunkin donuts lobby hours,7,7,90,86.49,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,57,8/17/2020
4302,smoothie places huntsville al,73,73,30,83.72,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.05,12,8/30/2020
4303,breakfast burrito places,69,69,90,85.88,0.0,https://www.dunkindonuts.com/en/menu/sandwiches-and-more,0,0.0,0,0.07,64200000,8/14/2020
4304,free card numbers that work,94,94,20,70.17,1.19,https://www.dunkindonuts.com/en/dd-cards/check-balance,0,0.0,0,0.18,4390000000,8/14/2020
4305,burgers brew and que,91,91,1900,81.88,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.0,818000,8/16/2020
4306,time pdf,47,47,210,72.57,0.0,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf,0,0.0,0,0.0,4750000000,8/26/2020
4307,iced guava white tea price,61,61,50,81.46,0.0,https://www.dunkindonuts.com/en/menu/donuts/donuts,0,0.0,0,0.12,1460000,8/18/2020
4308,calories per donut,12,12,140,85.17,0.0,https://www.dunkindonuts.com/en/menu/nutrition,1,0.0,0,0.0,1390000,8/18/2020
4309,concord ca city limits map,91,91,30,72.93,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,96,8/18/2020
4310,donut valentine card kit,27,27,50,88.42,0.0,https://news.dunkindonuts.com/blog?t=DIY,0,0.0,0,1.0,6370000,8/22/2020
4311,do you put sugar in a latte,21,21,50,83.25,0.0,https://www.dunkindonuts.com/en/food-drinks/hot-drinks/latte,0,0.0,0,0.0,10500000,8/16/2020
4312,iced mocha dunkin,1,1,170,87.11,5.08,https://www.dunkindonuts.com/en/food-drinks/iced-drinks/iced-coffee,136,0.0,690,0.1,357000,8/18/2020
4313,star meats sandwiches,77,77,50,66.96,0.0,https://www.dunkindonuts.com/en/food-drinks/sandwiches-wraps,0,0.0,0,0.04,19700000,8/19/2020
4314,ddcard offer com,2,2,40,80.54,0.0,https://www.dunkindonuts.com/en/dd-perks,5,0.0,0,0.0,1150000,8/24/2020
4315,ddcard offer com,1,1,40,80.54,0.0,https://www.dunkindonuts.com/en/dd-cards,18,0.0,0,0.0,1150000,8/24/2020
4316,ddcard offer com,4,4,40,80.54,0.0,https://news.dunkindonuts.com/blog?t=DD+Card+Offer,2,0.0,0,0.0,1150000,8/24/2020
4317,ddcard offer com,5,5,40,80.54,0.0,https://www.dunkindonuts.com/en/dd-perks/dd-perks-terms-and-conditions,2,0.0,0,0.0,1150000,8/24/2020
4318,ddcard offer com,3,3,40,80.54,0.0,https://www.dunkindonuts.com/en/menu/offers-promotions,3,0.0,0,0.0,1150000,8/24/2020
4319,register amazon gift card,54,54,210,88.32,1.5,https://www.dunkindonuts.com/en/dd-cards/gift-cards,0,0.0,0,0.22,338000000,8/24/2020
4320,personalized gift cards for businesses,91,91,90,67.03,3.6,https://business.giftcards.dunkindonuts.com/,0,0.0,0,0.68,428000000,8/16/2020
4321,advertising jobs rockford il,86,86,70,77.52,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,4400000,8/26/2020
4322,arabica careers,26,26,20,63.35,0.0,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/coffee,0,0.0,0,0.0,2550000,8/29/2020
4323,new london coffee shop,93,93,170,78.24,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.02,521000000,8/13/2020
4324,bowling batavia ny,90,90,40,71.48,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,635000,8/12/2020
4325,how many calories in vanilla chai dunkin donuts,2,2,30,77.96,0.0,https://www.dunkindonuts.com/en/food-drinks/hot-drinks/vanilla-chai,3,0.0,0,0.0,478000,8/18/2020
4326,best tasting bagels,51,51,70,89.35,0.0,https://www.dunkindonuts.com/en/menu/bagels-and-muffins/bagels,0,0.0,0,0.0,2360000,8/18/2020
4327,dunkin perks,2,2,880,86.68,2.39,https://www.dunkindonuts.com/en/sign-in,22,0.0,54,0.01,706000,8/18/2020
4328,peanuts calories,71,68,6600,84.45,2.2,https://www.dunkindonuts.com/en/menu/donuts/donuts,0,0.0,0,0.01,313000000,8/30/2020
4329,mobile press register number,41,41,90,79.76,0.0,https://www.dunkindonuts.com/en/about/contact-us,0,0.0,0,0.0,1620000000,8/18/2020
4330,grubhub franchise cost,25,25,50,78.46,0.0,https://news.dunkindonuts.com/news/dunkin-offers-free-delivery-with-grubhub-through-april-19,0,0.0,0,0.23,234000,8/25/2020
4331,grubhub franchise cost,26,26,50,78.46,0.0,https://www.dunkindonuts.com/en/dunkin-delivers,0,0.0,0,0.23,234000,8/25/2020
4332,buy in bulk online,74,74,2900,81.66,0.99,https://www.dunkindonuts.com/en/dd-cards/gift-cards,0,0.0,0,1.0,571000000,8/16/2020
4333,diy popsocket cover,63,63,90,78.04,0.0,https://news.dunkindonuts.com/,0,0.0,0,0.89,87,8/19/2020
4334,coffee and food shops near me,33,33,50,76.36,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.07,3170000000,8/25/2020
4335,sugar free syrup calories,72,72,210,81.33,0.0,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/cold-brew,0,0.0,0,0.62,0,8/17/2020
4336,bacon macros,38,38,390,80.25,0.0,https://www.dunkindonuts.com/en/menu/sandwiches-and-more/bacon-egg-cheese,0,0.0,0,0.0,100,8/20/2020
4337,are english muffins vegan,92,92,880,69.08,0.0,https://news.dunkindonuts.com/blog/vegan-menu-dunkin,0,0.0,0,0.01,9780000,8/16/2020
4338,starbucks new protein cold brew,96,96,70,88.86,0.0,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/cold-brew,0,0.0,0,0.0,1210000,8/22/2020
4339,all camps coral highlands,90,90,30,82.39,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,87,8/20/2020
4340,steak egg bagel from mcdonalds calories,93,0,50,81.65,0.0,https://www.dunkindonuts.com/en/menu/sandwiches-and-more,0,0.0,0,0.0,80,8/30/2020
4341,nearest starbucks drive through to me,97,97,70,91.2,1.46,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.15,99,8/15/2020
4342,n7 coffee,95,95,90,82.2,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.35,35,8/30/2020
4343,calgary to colorado drive time,94,94,70,80.49,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,8540000,8/16/2020
4344,town near me now,14,14,110,83.01,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,3000000000,8/24/2020
4345,flavors girl scout cookies 2019,34,34,50,78.62,0.0,https://news.dunkindonuts.com/blog/get-ready-girl-scout-cookie-inspired-coffee-flavors-are-coming-back-to-dunkin-in-2019,0,0.0,0,0.0,2200000,8/14/2020
4346,enjoy home delivery,60,60,30,77.18,0.0,https://news.dunkindonuts.com/blog/uber-eats-june-delivery-offer,0,0.0,0,0.07,1450000000,8/19/2020
4347,food delivery oswego il,83,83,20,85.19,3.23,https://www.dunkindonuts.com/,0,0.0,0,1.0,16,8/21/2020
4348,how much is a bacon egg and cheese,2,2,110,89.61,0.0,https://www.dunkindonuts.com/en/menu/sandwiches-and-more/bacon-egg-cheese,14,0.0,0,0.01,209000000,8/16/2020
4349,hazelnut frappuccino calories,11,11,70,84.46,0.0,https://www.dunkindonuts.com/en/menu/frozen-drinks/frozen-iced-coffee,3,0.0,0,0.0,150000,8/23/2020
4350,frn gas card,25,25,70,66.27,0.0,https://www.dunkindonuts.com/shell,0,0.0,0,0.29,1020000,8/25/2020
4351,fat free cappuccino nutrition,33,33,50,83.64,0.0,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/cappuccino,0,0.0,0,0.0,87,8/19/2020
4352,sandwich thins nutrition,62,62,210,81.17,0.0,https://www.dunkindonuts.com/en/menu/sandwiches-and-more,0,0.0,0,0.76,0,8/18/2020
4353,dunkin donuts original iced coffee,5,5,170,88.73,4.08,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/iced-coffee,8,0.0,34,0.96,585000,8/26/2020
4354,dunkin donuts original iced coffee,6,6,170,88.73,4.08,https://news.dunkindonuts.com/blog/new-dunkin-multi-serve-iced-coffee,8,0.0,34,0.96,585000,8/26/2020
4355,beaumont ca to las vegas,97,97,20,79.81,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,18000000,8/17/2020
4356,mocha moolatte caffeine content,17,17,30,79.48,0.0,https://www.dunkindonuts.com/en/menu/frozen-drinks/frozen-iced-coffee,0,0.0,0,0.03,13,8/16/2020
4357,25pcs munchkins dunkin donuts,2,0,20,67.8,0.0,https://www.dunkindonuts.com/en/menu/donuts/munchkins,2,0.0,0,0.0,74,8/30/2020
4358,yeast cake near me,28,28,30,85.71,0.0,https://news.dunkindonuts.com/blog/yeast-vs-cake-vs-french-cruller,0,0.0,0,0.9,108000000,8/18/2020
4359,reloadable gift cards near me,56,56,70,84.95,0.0,https://www.dunkindonuts.com/en/dd-cards/gift-cards,0,0.0,0,0.78,1360000,8/18/2020
4360,cash for gold milford ma,51,51,90,62.59,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.01,74,8/17/2020
4361,plainfield nh restaurants,92,92,30,79.46,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.53,368000,8/22/2020
4362,mystery menu items,96,96,30,88.79,0.0,https://news.dunkindonuts.com/blog/dd-perks-mystery-mondays-offer,0,0.0,0,0.0,246000000,8/19/2020
4363,fruit full fort,92,92,70,69.46,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.08,81700000,8/17/2020
4364,icee drink near me,25,25,90,82.78,0.0,https://www.dunkindonuts.com/en/food-drinks/frozen-drinks,0,0.0,0,0.56,4320000,8/16/2020
4365,starbucks coconut milk nutrition facts,81,81,140,84.89,0.0,https://news.dunkindonuts.com/blog,0,0.0,0,0.0,0,8/27/2020
4366,dunkin donuts coffee box cost,8,8,140,81.42,3.74,https://www.dunkindonuts.com/en/menu,4,0.0,15,0.23,826000,8/16/2020
4367,how much does a dunkin donuts store manager make,13,13,50,85.58,0.0,https://www.dunkindonuts.com/en/careers,0,0.0,0,0.0,53,8/23/2020
4368,job application for 14,37,37,20,82.04,0.44,https://www.dunkindonuts.com/en/careers,0,0.0,0,0.5,2800000000,8/16/2020
4369,heat press places near me,78,78,30,77.66,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,964000000,8/20/2020
4370,donuts cause cancer,77,77,90,75.49,0.0,https://news.dunkindonuts.com/news/going-gold,0,0.0,0,0.06,3320000,8/28/2020
4371,coffee concord nh,80,80,110,68.44,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,35,8/18/2020
4372,irish cream coffee drinks,71,71,70,80.99,0.0,https://news.dunkindonuts.com/blog/story-behind-irish-creme-coffee,0,0.0,0,0.63,17000000,8/23/2020
4373,oxford university press cary nc,48,48,210,85.6,0.46,https://www.dunkindonuts.com/,0,0.0,0,0.01,59,8/17/2020
4374,oxford university press cary nc,47,47,210,85.6,0.46,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.01,59,8/17/2020
4375,starbucks mocha latte k cups,82,82,320,86.28,5.3,https://www.dunkindonuts.com/en/menu/espresso-and-coffee,0,0.0,0,1.0,2720000,8/30/2020
4376,providence friars merchandise,71,71,50,77.46,0.28,https://news.dunkindonuts.com/blog/meet-our-brandd-ambassaddor:-lindsay-from-providence-college,0,0.0,0,1.0,799000,8/22/2020
4377,happy hour dunkin donuts 2020,2,2,20,85.02,3.76,https://news.dunkindonuts.com/blog/dunkin-deals-happy-hour,2,0.0,9,0.1,2040000,8/17/2020
4378,happy hour dunkin donuts 2020,3,3,20,85.02,3.76,https://news.dunkindonuts.com/news/dunkin-introduces-2-iced-mondays-and-extends-free-donut-fridays-for-dd-perksR-members,1,0.0,6,0.1,2040000,8/17/2020
4379,baskin robbins indianapolis locations,45,45,70,88.38,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,74,8/14/2020
4380,phoenix garden hastings menu,31,31,50,70.01,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,65,8/18/2020
4381,dunkin donuts vanilla kreme donut,1,1,110,85.23,0.0,https://www.dunkindonuts.com/en/food-drinks/donuts/donuts,88,0.0,0,0.04,118000,8/18/2020
4382,8 bit donuts,92,92,170,73.19,0.0,https://www.dunkindonuts.com/en/menu/donuts,0,0.0,0,0.02,96,8/22/2020
4383,where is area code two one six located,78,78,30,81.73,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,1470000000,8/18/2020
4384,p and o drinks policy,65,65,70,62.8,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.0,187000000,8/22/2020
4385,chocolate drink calories,16,16,50,86.99,0.0,https://www.dunkindonuts.com/en/food-drinks/frozen-drinks/hot-chocolate-frozen,0,0.0,0,0.21,153000000,8/15/2020
4386,are there any starbucks open on christmas,59,59,40,88.72,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,85,8/21/2020
4387,dunkin donuts lilburn,60,0,40,84.05,0.0,https://www.dunkindonuts.com/en/about/contact-us/restaurant-visit/store-info,0,0.0,0,0.04,71,8/30/2020
4388,dunkin donuts medium caramel iced coffee,3,3,40,83.92,0.0,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf,3,0.0,0,0.07,0,8/17/2020
4389,dunkin donuts medium caramel iced coffee,2,2,40,83.92,0.0,https://www.dunkindonuts.com/en/food-drinks/iced-drinks/iced-coffee,5,0.0,0,0.07,0,8/17/2020
4390,cartel de santa online store,49,49,40,84.75,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,98,8/25/2020
4391,gift card locations,96,96,50,75.01,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.26,1610000000,8/17/2020
4392,dunkin donuts lake station in,27,27,40,86.27,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.14,860000,8/14/2020
4393,dunkin donuts lake station in,26,26,40,86.27,0.0,https://www.dunkindonuts.com/en/careers,0,0.0,0,0.14,860000,8/14/2020
4394,donuts albuquerque nm,45,45,30,73.7,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.05,36,8/18/2020
4395,mobile one app free download,32,32,90,82.43,0.0,https://www.dunkindonuts.com/en/dd-cards/mobile-app,0,0.0,0,0.0,5660000000,8/29/2020
4396,the tremont burlington,97,97,320,72.25,1.23,https://www.dunkindonuts.com/,0,0.0,0,0.12,1410000,8/17/2020
4397,distance to vancouver wa,52,52,30,78.76,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,77,8/15/2020
4398,here and now app download,36,36,50,85.69,0.0,https://www.dunkindonuts.com/en/dd-cards/mobile-app,0,0.0,0,0.0,6200000000,8/26/2020
4399,grubhub pickup order,58,58,30,88.85,1.61,https://www.dunkindonuts.com/en/dunkin-delivers,0,0.0,0,0.14,12600000,8/14/2020
4400,cod mobile perks,63,63,210,80.02,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.02,0,8/24/2020
4401,croissant sandwich buns,17,17,70,73.51,0.0,https://www.dunkindonuts.com/en/food-drinks/sandwiches-wraps,0,0.0,0,0.93,24200000,8/15/2020
4402,croissant sandwich buns,18,18,70,73.51,0.0,https://www.dunkindonuts.com/en/food-drinks/sandwiches-wraps/pretzel-croissant-breakfast-sandwich,0,0.0,0,0.93,24200000,8/15/2020
4403,credit card deals right now,72,72,20,89.2,8.51,https://www.dunkindonuts.com/en/dd-perks,0,0.0,0,0.88,1960000000,8/19/2020
4404,grande almond milk vanilla latte calories,37,37,40,81.85,0.0,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/latte,0,0.0,0,0.0,325000,8/27/2020
4405,dunkin donuts falmouth,13,13,140,88.08,0.0,https://www.dunkindonuts.com/,1,0.0,0,0.0,85,8/23/2020
4406,dunkin donuts ormond beach florida,76,76,50,82.52,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,82,8/21/2020
4407,medium frozen coffee dunkin donuts price,3,3,90,81.31,0.0,https://www.dunkindonuts.com/en/menu,8,0.0,0,0.08,501000,8/29/2020
4408,weather st johnsbury vt,70,70,1900,85.87,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,76,8/21/2020
4409,k and w near me,41,41,320,80.14,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,12710000000,8/28/2020
4410,donuts frankfurt,28,28,90,75.41,0.0,https://news.dunkindonuts.com/news/dunkin-donuts-announces-plans-to-expand-presence-in-germany,0,0.0,0,0.0,78,8/18/2020
4411,how many miles from detroit to new york,100,100,40,79.1,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.0,89400000,8/15/2020
4412,c & r restaurant london menu,76,76,50,71.98,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,96,8/18/2020
4413,how to recover forgotten password,88,88,110,91.24,0.67,https://www.dunkindonuts.com/en/sign-in/forgot-password,0,0.0,0,0.13,35600000,8/16/2020
4414,princeton shopping center restaurants,86,86,140,69.99,0.0,https://www.dunkindonuts.com/en/locations,0,0.0,0,0.01,4960000,8/19/2020
4415,tiffin service menu card,88,88,30,68.32,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.0,1260000,8/23/2020
4416,running gif transparent,78,78,50,79.55,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,94,8/16/2020
4417,augusta burgers and beer,97,97,90,69.18,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.0,4040000,8/18/2020
4418,juice king menu,89,89,30,82.96,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.0,112000000,8/14/2020
4419,calories in a turkey wrap with cheese,14,14,70,82.91,0.0,https://www.dunkindonuts.com/en/menu/sandwiches-and-more/wake-up-wrap,0,0.0,0,0.01,3810000,8/16/2020
4420,cash for gold kenosha,47,47,30,66.53,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.14,57,8/20/2020
4421,dunkin caramel iced coffee with almond milk,3,3,30,86.34,5.46,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/iced-coffee,2,0.0,14,0.21,166000,8/18/2020
4422,dunkin caramel iced coffee with almond milk,2,2,30,86.34,5.46,https://www.dunkindonuts.com/en/food-drinks/iced-drinks/iced-coffee,3,0.0,21,0.21,166000,8/18/2020
4423,dunkin donuts application meriden ct,8,8,50,88.12,0.0,https://www.dunkindonuts.com/en/careers,1,0.0,0,0.0,56,8/17/2020
4424,great maple restaurant san diego ca,90,90,50,84.63,0.0,https://www.dunkindonuts.com/en/menu,0,0.0,0,0.03,2200000,8/18/2020
4425,dunkin donuts michigan city,18,18,110,84.16,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.04,938000,8/16/2020
4426,whats the difference between a latte and coffee,5,5,90,71.21,0.0,https://news.dunkindonuts.com/blog/latte-vs-cappuccino-vs-macchiato-whats-the-difference,4,0.0,0,0.05,23100000,8/17/2020
4427,dubuque senior basketball twitter,74,74,50,90.71,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,85,8/13/2020
4428,harrison supply roxbury ma,98,98,30,72.48,0.0,https://www.dunkindonuts.com/,0,0.0,0,0.0,729000,8/18/2020
